file,fpeak,q,m1,m2
dd2-mttot2times1.2000_q0.7000_id2poles.dat,2245.529086813407,0.7,0.9882352941176469,1.411764705882353
dd2-mttot2times1.2000_q0.8000_id2poles.dat,2442.1072675325104,0.8,1.0666666666666667,1.3333333333333333
dd2-mttot2times1.2000_q0.8500_id2poles.dat,2460.555912192916,0.85,1.1027027027027025,1.2972972972972971
dd2-mttot2times1.2000_q0.9000_id2poles.dat,2422.036699937002,0.9,1.1368421052631579,1.263157894736842
dd2-mttot2times1.2000_q0.9500_id2poles.dat,2495.18077343804,0.95,1.1692307692307693,1.2307692307692308
dd2-mttot2times1.2000_q1.0000_id2poles.dat,2459.721966789699,1.0,1.2,1.2
dd2-mttot2times1.3000_q0.8000_id2poles.dat,2578.1618757717283,0.8,1.1555555555555557,1.4444444444444444
dd2-mttot2times1.3000_q0.8500_id2poles.dat,2567.277664967036,0.85,1.1945945945945944,1.4054054054054055
dd2-mttot2times1.3000_q0.9000_id2poles.dat,2584.507716409768,0.9,1.231578947368421,1.368421052631579
dd2-mttot2times1.3000_q0.9500_id2poles.dat,2602.400405878101,0.95,1.2666666666666668,1.3333333333333335
dd2-mttot2times1.3000_q1.0000_id2poles.dat,2565.5356614623934,1.0,1.3,1.3
dd2-mttot2times1.3500_q0.7000_id2poles.dat,2601.958609696813,0.7,1.111764705882353,1.5882352941176472
dd2-mttot2times1.3500_q0.8000_id2poles.dat,2636.197870737963,0.8,1.2000000000000002,1.5
dd2-mttot2times1.3500_q0.8500_id2poles.dat,2631.507524615325,0.85,1.2405405405405405,1.4594594594594594
dd2-mttot2times1.3500_q0.9000_id2poles.dat,2562.0587369677805,0.9,1.2789473684210526,1.4210526315789476
dd2-mttot2times1.3500_q0.9500_id2poles.dat,2678.566921367629,0.95,1.3153846153846156,1.3846153846153848
dd2-mttot2times1.3500_q1.0000_id2poles.dat,2639.428505383475,1.0,1.35,1.35
dd2-mttot2times1.4000_q0.7000_id2poles.dat,2490.6401225313357,0.7,1.1529411764705881,1.6470588235294117
dd2-mttot2times1.4000_q0.8000_id2poles.dat,2692.9163870178127,0.8,1.2444444444444445,1.5555555555555554
dd2-mttot2times1.4000_q0.8500_id2poles.dat,2573.831300939552,0.85,1.2864864864864862,1.5135135135135134
dd2-mttot2times1.4000_q0.9000_id2poles.dat,2607.9355437160243,0.9,1.3263157894736841,1.4736842105263157
dd2-mttot2times1.4000_q0.9500_id2poles.dat,2742.3712922365576,0.95,1.3641025641025641,1.435897435897436
dd2-mttot2times1.4000_q1.0000_id2poles.dat,2706.496363572329,1.0,1.4,1.4
dd2-mttot2times1.4500_q0.7000_id2poles.dat,2610.8231309801677,0.7,1.1941176470588233,1.7058823529411764
dd2-mttot2times1.4500_q0.8000_id2poles.dat,2743.0704605782507,0.8,1.2888888888888888,1.611111111111111
dd2-mttot2times1.4500_q0.8500_id2poles.dat,2775.892195173279,0.85,1.3324324324324321,1.5675675675675675
dd2-mttot2times1.4500_q0.9000_id2poles.dat,2794.3515598537742,0.9,1.3736842105263156,1.5263157894736843
dd2-mttot2times1.4500_q0.9500_id2poles.dat,2754.70397555106,0.95,1.412820512820513,1.4871794871794872
dd2-mttot2times1.4500_q1.0000_id2poles.dat,2755.405036963229,1.0,1.45,1.45
dd2-mttot2times1.5000_q0.7000_id2poles.dat,2685.949404996751,0.7,1.2352941176470587,1.7647058823529411
dd2-mttot2times1.5000_q0.8000_id2poles.dat,2649.2394501053122,0.8,1.3333333333333333,1.6666666666666665
dd2-mttot2times1.5000_q0.8500_id2poles.dat,2696.814843849909,0.85,1.3783783783783783,1.6216216216216215
dd2-mttot2times1.5000_q0.9000_id2poles.dat,2886.483255718212,0.9,1.4210526315789473,1.5789473684210527
dd2-mttot2times1.5000_q0.9500_id2poles.dat,2807.135284432875,0.95,1.4615384615384617,1.5384615384615385
dd2-mttot2times1.5000_q1.0000_id2poles.dat,2853.3722554062415,1.0,1.5,1.5
dd2-mttot2times1.6000_q0.7000_id2poles.dat,2850.362109164171,0.7,1.3176470588235294,1.8823529411764708
dd2-mttot2times1.6000_q0.8000_id2poles.dat,2897.250936416986,0.8,1.4222222222222223,1.777777777777778
dd2-mttot2times1.6000_q0.8500_id2poles.dat,2931.8795270406404,0.85,1.4702702702702701,1.7297297297297298
dd2-mttot2times1.6000_q0.9000_id2poles.dat,2971.084056792473,0.9,1.5157894736842106,1.6842105263157896
dd2-mttot2times1.6000_q0.9500_id2poles.dat,2991.251177872093,0.95,1.5589743589743592,1.6410256410256412
dd2-mttot2times1.6000_q1.0000_id2poles.dat,3010.942971134464,1.0,1.6,1.6
